,locale,partition,utt,tokens
0,af-ZA,train,maak my wakker nege-uur v. m. op vrydag,"['maak', 'my', 'wakker', 'nege-uur', 'v.', 'm.', 'op', 'vrydag']"
1,af-ZA,train,stel 'n alarm vir twee ure van nou af,"['stel', ""'n"", 'alarm', 'vir', 'twee', 'ure', 'van', 'nou', 'af']"
2,af-ZA,train,janneman stilte,"['janneman', 'stilte']"
3,af-ZA,train,stop,['stop']
4,af-ZA,train,janneman onderbreek dit vir tien sekondes,"['janneman', 'onderbreek', 'dit', 'vir', 'tien', 'sekondes']"
5,af-ZA,train,stop vir tien sekondes,"['stop', 'vir', 'tien', 'sekondes']"
6,af-ZA,train,maak die beligting bietjie meer warm hier,"['maak', 'die', 'beligting', 'bietjie', 'meer', 'warm', 'hier']"
7,af-ZA,train,stel asseblief die beligting geskik vir lees,"['stel', 'asseblief', 'die', 'beligting', 'geskik', 'vir', 'lees']"
8,af-ZA,train,tyd om te slaap,"['tyd', 'om', 'te', 'slaap']"
9,af-ZA,train,tyd om te slaap janneman,"['tyd', 'om', 'te', 'slaap', 'janneman']"
10,af-ZA,train,skakel af die lig in die badkamer,"['skakel', 'af', 'die', 'lig', 'in', 'die', 'badkamer']"
11,af-ZA,train,olly verdof die ligte in die gang,"['olly', 'verdof', 'die', 'ligte', 'in', 'die', 'gang']"
12,af-ZA,train,skakel die ligte af in die slaapkamer,"['skakel', 'die', 'ligte', 'af', 'in', 'die', 'slaapkamer']"
13,af-ZA,train,stel die ligte na twintig persent,"['stel', 'die', 'ligte', 'na', 'twintig', 'persent']"
14,af-ZA,train,olly stel ligte tot twintig persent,"['olly', 'stel', 'ligte', 'tot', 'twintig', 'persent']"
15,af-ZA,train,olly verdof die ligte in die kombuis,"['olly', 'verdof', 'die', 'ligte', 'in', 'die', 'kombuis']"
16,af-ZA,train,verdof die ligte in die kombuis,"['verdof', 'die', 'ligte', 'in', 'die', 'kombuis']"
17,af-ZA,train,janneman maak die woonstel skoon,"['janneman', 'maak', 'die', 'woonstel', 'skoon']"
18,af-ZA,train,stofsuig die huis,"['stofsuig', 'die', 'huis']"
19,af-ZA,train,stofsuig die huis olly,"['stofsuig', 'die', 'huis', 'olly']"
20,af-ZA,train,stofsuig die matte,"['stofsuig', 'die', 'matte']"
21,af-ZA,train,kyk wanneer die vertoning begin,"['kyk', 'wanneer', 'die', 'vertoning', 'begin']"
22,af-ZA,train,ek will weer na 'n koos kombuis liedjie luister,"['ek', 'will', 'weer', 'na', ""'n"", 'koos', 'kombuis', 'liedjie', 'luister']"
23,af-ZA,train,ek wil weer daardie musiek een speel,"['ek', 'wil', 'weer', 'daardie', 'musiek', 'een', 'speel']"
24,af-ZA,train,kyk my motor is gereed,"['kyk', 'my', 'motor', 'is', 'gereed']"
25,af-ZA,train,kyk of my skootrekenaar werk,"['kyk', 'of', 'my', 'skootrekenaar', 'werk']"
26,af-ZA,train,is die helderheid van my skerm laag,"['is', 'die', 'helderheid', 'van', 'my', 'skerm', 'laag']"
27,af-ZA,train,ek moet liggingsdienste aan hê kan jy kyk,"['ek', 'moet', 'liggingsdienste', 'aan', 'hê', 'kan', 'jy', 'kyk']"
28,af-ZA,train,kyk die status van my krag verbruik,"['kyk', 'die', 'status', 'van', 'my', 'krag', 'verbruik']"
29,af-ZA,train,ek is nie moeg nie ek is eintlik gelukkig,"['ek', 'is', 'nie', 'moeg', 'nie', 'ek', 'is', 'eintlik', 'gelukkig']"
30,af-ZA,train,ollie ek is nie moeg nie ek is eintlik gelukkig,"['ollie', 'ek', 'is', 'nie', 'moeg', 'nie', 'ek', 'is', 'eintlik', 'gelukkig']"
31,af-ZA,train,wat gaan aan,"['wat', 'gaan', 'aan']"
32,af-ZA,train,vertel my die tyd in moskou,"['vertel', 'my', 'die', 'tyd', 'in', 'moskou']"
33,af-ZA,train,se vir my die tyd g. m. t. plus vyf,"['se', 'vir', 'my', 'die', 'tyd', 'g.', 'm.', 't.', 'plus', 'vyf']"
34,af-ZA,train,olly lys mees gegradeerde afleweringsopsies vir sjinese kos,"['olly', 'lys', 'mees', 'gegradeerde', 'afleweringsopsies', 'vir', 'sjinese', 'kos']"
35,af-ZA,train,mees gegradeerde aflewering opsies vir chinese kos,"['mees', 'gegradeerde', 'aflewering', 'opsies', 'vir', 'chinese', 'kos']"
36,af-ZA,train,olly hoogste gegradeerde aflewerings opsies vir chinese kos,"['olly', 'hoogste', 'gegradeerde', 'aflewerings', 'opsies', 'vir', 'chinese', 'kos']"
37,af-ZA,train,ek wil kerrie as wegneem hê enige aanbevelings,"['ek', 'wil', 'kerrie', 'as', 'wegneem', 'hê', 'enige', 'aanbevelings']"
38,af-ZA,train,ek wil 'n bietjie kerrie hê om te gaan enige aanbevelings janneman,"['ek', 'wil', ""'n"", 'bietjie', 'kerrie', 'hê', 'om', 'te', 'gaan', 'enige', 'aanbevelings', 'janneman']"
39,af-ZA,train,vind my taiwannese wegneemetes rondom die waterfront,"['vind', 'my', 'taiwannese', 'wegneemetes', 'rondom', 'die', 'waterfront']"
40,af-ZA,train,stop sewe-uur v. m. alarm,"['stop', 'sewe-uur', 'v.', 'm.', 'alarm']"
41,af-ZA,train,lys asseblief aktiewe alarms,"['lys', 'asseblief', 'aktiewe', 'alarms']"
42,af-ZA,train,wat gebeur vandag in rugby,"['wat', 'gebeur', 'vandag', 'in', 'rugby']"
43,af-ZA,train,speel asseblief yesterday van die beatles,"['speel', 'asseblief', 'yesterday', 'van', 'die', 'beatles']"
44,af-ZA,train,ek hou van rock musiek,"['ek', 'hou', 'van', 'rock', 'musiek']"
45,af-ZA,train,my gunsteling musiek groep is queen,"['my', 'gunsteling', 'musiek', 'groep', 'is', 'queen']"
46,af-ZA,train,begin musiek van nadine speel,"['begin', 'musiek', 'van', 'nadine', 'speel']"
47,af-ZA,train,speel asseblief my beste musiek,"['speel', 'asseblief', 'my', 'beste', 'musiek']"
48,af-ZA,train,wie het die musiek wat nou speel gekomponeer,"['wie', 'het', 'die', 'musiek', 'wat', 'nou', 'speel', 'gekomponeer']"
49,af-ZA,train,wat is daardie die album is huidige musiek van,"['wat', 'is', 'daardie', 'die', 'album', 'is', 'huidige', 'musiek', 'van']"
50,af-ZA,train,olly ek geniet regtig hierdie liedjie,"['olly', 'ek', 'geniet', 'regtig', 'hierdie', 'liedjie']"
