,locale,partition,utt,tokens
0,sw-KE,train,niamshe saa tatu asubuhi ijumaa,"['niamshe', 'saa', 'tatu', 'asubuhi', 'ijumaa']"
1,sw-KE,train,weka kengele ya masaa mawili kutoka sasa,"['weka', 'kengele', 'ya', 'masaa', 'mawili', 'kutoka', 'sasa']"
2,sw-KE,train,olly nyamaza,"['olly', 'nyamaza']"
3,sw-KE,train,wacha,['wacha']
4,sw-KE,train,olly tuliza kwa sekunde kumi,"['olly', 'tuliza', 'kwa', 'sekunde', 'kumi']"
5,sw-KE,train,nyamazisha kwa sekunde kumi,"['nyamazisha', 'kwa', 'sekunde', 'kumi']"
6,sw-KE,train,tengeneza umeme hapa iwe joto zaidi,"['tengeneza', 'umeme', 'hapa', 'iwe', 'joto', 'zaidi']"
7,sw-KE,train,tafadhali weka taa yakufaa kusoma,"['tafadhali', 'weka', 'taa', 'yakufaa', 'kusoma']"
8,sw-KE,train,saa ya kulala,"['saa', 'ya', 'kulala']"
9,sw-KE,train,wakati wa kulala olly,"['wakati', 'wa', 'kulala', 'olly']"
10,sw-KE,train,zima taa ndani ya bafu,"['zima', 'taa', 'ndani', 'ya', 'bafu']"
11,sw-KE,train,olly punguza taa kwenye ukumbi,"['olly', 'punguza', 'taa', 'kwenye', 'ukumbi']"
12,sw-KE,train,weka taa za chumba cha kulala katika hali ya kuzima,"['weka', 'taa', 'za', 'chumba', 'cha', 'kulala', 'katika', 'hali', 'ya', 'kuzima']"
13,sw-KE,train,weka taa hadi asilimia ishirini,"['weka', 'taa', 'hadi', 'asilimia', 'ishirini']"
14,sw-KE,train,olly weka taa ziwe asilimia ishirini,"['olly', 'weka', 'taa', 'ziwe', 'asilimia', 'ishirini']"
15,sw-KE,train,punguza mwangaza jikoni olly,"['punguza', 'mwangaza', 'jikoni', 'olly']"
16,sw-KE,train,punguza mwangaza wa taa jikoni,"['punguza', 'mwangaza', 'wa', 'taa', 'jikoni']"
17,sw-KE,train,olly safisha gorofa,"['olly', 'safisha', 'gorofa']"
18,sw-KE,train,fyonza nyumba,"['fyonza', 'nyumba']"
19,sw-KE,train,safisha nyumba olly,"['safisha', 'nyumba', 'olly']"
20,sw-KE,train,safisha mazulia pande zote,"['safisha', 'mazulia', 'pande', 'zote']"
21,sw-KE,train,angalia wakati onyesho linaanza,"['angalia', 'wakati', 'onyesho', 'linaanza']"
22,sw-KE,train,cheza tena wimbo wa sauti sol,"['cheza', 'tena', 'wimbo', 'wa', 'sauti', 'sol']"
23,sw-KE,train,nataka kucheza ile muziki tena,"['nataka', 'kucheza', 'ile', 'muziki', 'tena']"
24,sw-KE,train,angalia gari langu liko tayari,"['angalia', 'gari', 'langu', 'liko', 'tayari']"
25,sw-KE,train,angalia laptop yangu inafanya kazi,"['angalia', 'laptop', 'yangu', 'inafanya', 'kazi']"
26,sw-KE,train,mwangaza wa skrini yangu inaenda chini,"['mwangaza', 'wa', 'skrini', 'yangu', 'inaenda', 'chini']"
27,sw-KE,train,nahitaji kuwasha huduma za eneo unaweza kuangalia,"['nahitaji', 'kuwasha', 'huduma', 'za', 'eneo', 'unaweza', 'kuangalia']"
28,sw-KE,train,angalia hali ya matumizi yangu ya nguvu,"['angalia', 'hali', 'ya', 'matumizi', 'yangu', 'ya', 'nguvu']"
29,sw-KE,train,sijachoka nina furaha kwa kweli,"['sijachoka', 'nina', 'furaha', 'kwa', 'kweli']"
30,sw-KE,train,olly sijachoka nina furaha kweli,"['olly', 'sijachoka', 'nina', 'furaha', 'kweli']"
31,sw-KE,train,vipi,['vipi']
32,sw-KE,train,niambie saa huko nairobi,"['niambie', 'saa', 'huko', 'nairobi']"
33,sw-KE,train,niambie wakati wa g. m. t. pamoja na tano,"['niambie', 'wakati', 'wa', 'g.', 'm.', 't.', 'pamoja', 'na', 'tano']"
34,sw-KE,train,olly orodhesha chaguzi zilizotathminiwa zaidi za kuwasilisha chakula cha kichina,"['olly', 'orodhesha', 'chaguzi', 'zilizotathminiwa', 'zaidi', 'za', 'kuwasilisha', 'chakula', 'cha', 'kichina']"
35,sw-KE,train,chaguzi za utoaji zilizokadiriwa zaidi kwa chakula cha swahili,"['chaguzi', 'za', 'utoaji', 'zilizokadiriwa', 'zaidi', 'kwa', 'chakula', 'cha', 'swahili']"
36,sw-KE,train,olly huduma za kupeleka zilizokadiriwa zaidi kwa swahili dish,"['olly', 'huduma', 'za', 'kupeleka', 'zilizokadiriwa', 'zaidi', 'kwa', 'swahili', 'dish']"
37,sw-KE,train,nataka baadhi ya chakula kwenda mapendekezo yoyote,"['nataka', 'baadhi', 'ya', 'chakula', 'kwenda', 'mapendekezo', 'yoyote']"
38,sw-KE,train,nataka chakula mapendekezo yoyote maimuna,"['nataka', 'chakula', 'mapendekezo', 'yoyote', 'maimuna']"
39,sw-KE,train,kupata yangu kutoa nje biriani karibu na nairobi,"['kupata', 'yangu', 'kutoa', 'nje', 'biriani', 'karibu', 'na', 'nairobi']"
40,sw-KE,train,simamisha kengele ya saa moja asubuhi,"['simamisha', 'kengele', 'ya', 'saa', 'moja', 'asubuhi']"
41,sw-KE,train,tafadhali orodhesha kengele zinazotumika,"['tafadhali', 'orodhesha', 'kengele', 'zinazotumika']"
