,locale,partition,utt,tokens
0,ms-MY,train,kejutkan saya pada pukul sembilan pagi hari jumaat,"['kejutkan', 'saya', 'pada', 'pukul', 'sembilan', 'pagi', 'hari', 'jumaat']"
1,ms-MY,train,tetapkan penggera untuk dua jam dari sekarang,"['tetapkan', 'penggera', 'untuk', 'dua', 'jam', 'dari', 'sekarang']"
2,ms-MY,train,alexa senyap,"['alexa', 'senyap']"
3,ms-MY,train,berhenti,['berhenti']
4,ms-MY,train,siri berhenti seketika selama sepuluh saat,"['siri', 'berhenti', 'seketika', 'selama', 'sepuluh', 'saat']"
5,ms-MY,train,berhenti seketika selama sepuluh saat,"['berhenti', 'seketika', 'selama', 'sepuluh', 'saat']"
6,ms-MY,train,buatkan lampu lebih cerah sedikit di sini,"['buatkan', 'lampu', 'lebih', 'cerah', 'sedikit', 'di', 'sini']"
7,ms-MY,train,tolong tetapkan pencahayaan yang sesuai untuk membaca,"['tolong', 'tetapkan', 'pencahayaan', 'yang', 'sesuai', 'untuk', 'membaca']"
8,ms-MY,train,masa untuk tidur,"['masa', 'untuk', 'tidur']"
9,ms-MY,train,masa untuk tidur siti,"['masa', 'untuk', 'tidur', 'siti']"
10,ms-MY,train,tutup lampu bilik mandi,"['tutup', 'lampu', 'bilik', 'mandi']"
11,ms-MY,train,olly malapkan lampu lampu di ruang legar,"['olly', 'malapkan', 'lampu', 'lampu', 'di', 'ruang', 'legar']"
12,ms-MY,train,padamkan lampu di bilik tidur,"['padamkan', 'lampu', 'di', 'bilik', 'tidur']"
13,ms-MY,train,aturkan lampu ke dua puluh peratus,"['aturkan', 'lampu', 'ke', 'dua', 'puluh', 'peratus']"
14,ms-MY,train,olly tetapkan lampu kepada dua puluh peratus,"['olly', 'tetapkan', 'lampu', 'kepada', 'dua', 'puluh', 'peratus']"
15,ms-MY,train,olly malapkan lampu dapur,"['olly', 'malapkan', 'lampu', 'dapur']"
16,ms-MY,train,malapkan lampu dapur,"['malapkan', 'lampu', 'dapur']"
17,ms-MY,train,olly bersihkan flat,"['olly', 'bersihkan', 'flat']"
18,ms-MY,train,vakum rumah,"['vakum', 'rumah']"
19,ms-MY,train,vakum rumah,"['vakum', 'rumah']"
20,ms-MY,train,bersihkan karpet itu,"['bersihkan', 'karpet', 'itu']"
21,ms-MY,train,semak bila pertunjukan bermula,"['semak', 'bila', 'pertunjukan', 'bermula']"
22,ms-MY,train,saya nak dengar lagu ruffedge sekali lagi,"['saya', 'nak', 'dengar', 'lagu', 'ruffedge', 'sekali', 'lagi']"
23,ms-MY,train,saya nak main muzik itu sekali lagi,"['saya', 'nak', 'main', 'muzik', 'itu', 'sekali', 'lagi']"
24,ms-MY,train,periksa samada kereta saya telah tersedia,"['periksa', 'samada', 'kereta', 'saya', 'telah', 'tersedia']"
25,ms-MY,train,semak laptop saya berfungsi,"['semak', 'laptop', 'saya', 'berfungsi']"
26,ms-MY,train,adakah kecerahan skrin saya semakin malap,"['adakah', 'kecerahan', 'skrin', 'saya', 'semakin', 'malap']"
27,ms-MY,train,saya perlu mempunyai perkhidmatan lokasi boleh anda semak,"['saya', 'perlu', 'mempunyai', 'perkhidmatan', 'lokasi', 'boleh', 'anda', 'semak']"
28,ms-MY,train,semak tahap penggunaan tenaga saya,"['semak', 'tahap', 'penggunaan', 'tenaga', 'saya']"
29,ms-MY,train,saya tidak letih tetapi gembira,"['saya', 'tidak', 'letih', 'tetapi', 'gembira']"
30,ms-MY,train,olly saya tidak penat saya sebenarnya gembira,"['olly', 'saya', 'tidak', 'penat', 'saya', 'sebenarnya', 'gembira']"
31,ms-MY,train,apa khabar,"['apa', 'khabar']"
32,ms-MY,train,beritahu saya masa di seremban,"['beritahu', 'saya', 'masa', 'di', 'seremban']"
33,ms-MY,train,beritahu saya waktu di g. m. t. campur lima,"['beritahu', 'saya', 'waktu', 'di', 'g.', 'm.', 't.', 'campur', 'lima']"
34,ms-MY,train,olly senaraikan pilihan penghantaran yang paling bagus untuk makanan cina,"['olly', 'senaraikan', 'pilihan', 'penghantaran', 'yang', 'paling', 'bagus', 'untuk', 'makanan', 'cina']"
35,ms-MY,train,pilihan penghantaran paling dipilih untuk makanan cina,"['pilihan', 'penghantaran', 'paling', 'dipilih', 'untuk', 'makanan', 'cina']"
36,ms-MY,train,olly kedai makanan melayu yang ada pilihan penghantaran,"['olly', 'kedai', 'makanan', 'melayu', 'yang', 'ada', 'pilihan', 'penghantaran']"
37,ms-MY,train,saya nak cadangan yang sesuai dimakan dengan kari,"['saya', 'nak', 'cadangan', 'yang', 'sesuai', 'dimakan', 'dengan', 'kari']"
38,ms-MY,train,saya mahu makan kari untuk bawa pulang ada sebarang cadangan,"['saya', 'mahu', 'makan', 'kari', 'untuk', 'bawa', 'pulang', 'ada', 'sebarang', 'cadangan']"
39,ms-MY,train,cari makanan tapau melayu saya di sekitar pasar satok,"['cari', 'makanan', 'tapau', 'melayu', 'saya', 'di', 'sekitar', 'pasar', 'satok']"
40,ms-MY,train,hentikan penggera tujuh pagi,"['hentikan', 'penggera', 'tujuh', 'pagi']"
41,ms-MY,train,sila senaraikan penggera yang aktif,"['sila', 'senaraikan', 'penggera', 'yang', 'aktif']"
42,ms-MY,train,apa yang berlaku berkenaan bola sepak hari ini,"['apa', 'yang', 'berlaku', 'berkenaan', 'bola', 'sepak', 'hari', 'ini']"
43,ms-MY,train,tolong mainkan lagu semalam dari beatles,"['tolong', 'mainkan', 'lagu', 'semalam', 'dari', 'beatles']"
44,ms-MY,train,saya suka muzik rock,"['saya', 'suka', 'muzik', 'rock']"
45,ms-MY,train,kugiran muzik kegemaran saya adalah goldfish blink,"['kugiran', 'muzik', 'kegemaran', 'saya', 'adalah', 'goldfish', 'blink']"
46,ms-MY,train,mula mainkan muzik kegemaran saya,"['mula', 'mainkan', 'muzik', 'kegemaran', 'saya']"
47,ms-MY,train,tolong mainkan saya punya muzik terbaik,"['tolong', 'mainkan', 'saya', 'punya', 'muzik', 'terbaik']"
48,ms-MY,train,siapa pengarang muzik semasa,"['siapa', 'pengarang', 'muzik', 'semasa']"
49,ms-MY,train,dari apa album itu adalah muzik semasa,"['dari', 'apa', 'album', 'itu', 'adalah', 'muzik', 'semasa']"
50,ms-MY,train,olly saya sangat menikmati lagu ini,"['olly', 'saya', 'sangat', 'menikmati', 'lagu', 'ini']"
51,ms-MY,train,lagu awak mainkan amat menarik,"['lagu', 'awak', 'mainkan', 'amat', 'menarik']"
52,ms-MY,train,ini antara lagu yang terbaik untuk saya,"['ini', 'antara', 'lagu', 'yang', 'terbaik', 'untuk', 'saya']"
53,ms-MY,train,jadikan lampu lebih cerah,"['jadikan', 'lampu', 'lebih', 'cerah']"
54,ms-MY,train,tolong naikkan kecerahan lampu kepada maksimum,"['tolong', 'naikkan', 'kecerahan', 'lampu', 'kepada', 'maksimum']"
55,ms-MY,train,hei hidupkan robot pembersih vakum,"['hei', 'hidupkan', 'robot', 'pembersih', 'vakum']"
56,ms-MY,train,hidupkan robot pembersih,"['hidupkan', 'robot', 'pembersih']"
57,ms-MY,train,tolong pesankan roti jantan untuk makan malam,"['tolong', 'pesankan', 'roti', 'jantan', 'untuk', 'makan', 'malam']"
58,ms-MY,train,hei saya nak awak pesankan burger,"['hei', 'saya', 'nak', 'awak', 'pesankan', 'burger']"
59,ms-MY,train,boleh saya pesan makan malam bungkus dari leeyas corner,"['boleh', 'saya', 'pesan', 'makan', 'malam', 'bungkus', 'dari', 'leeyas', 'corner']"
60,ms-MY,train,kat chicago seven boleh tapau tak,"['kat', 'chicago', 'seven', 'boleh', 'tapau', 'tak']"
61,ms-MY,train,tetapkan penggera untuk dua belas,"['tetapkan', 'penggera', 'untuk', 'dua', 'belas']"
62,ms-MY,train,tetapkan penggera empat puluh minit dari sekarang,"['tetapkan', 'penggera', 'empat', 'puluh', 'minit', 'dari', 'sekarang']"
63,ms-MY,train,tetapkan penggera pukul lapan setiap hari isnin hingga jumaat,"['tetapkan', 'penggera', 'pukul', 'lapan', 'setiap', 'hari', 'isnin', 'hingga', 'jumaat']"
64,ms-MY,train,adakah sedang hujan,"['adakah', 'sedang', 'hujan']"
65,ms-MY,train,hari nak hujan ke,"['hari', 'nak', 'hujan', 'ke']"
66,ms-MY,train,sekarang tengah hujan ke,"['sekarang', 'tengah', 'hujan', 'ke']"
67,ms-MY,train,macam mana cuaca minggu ini,"['macam', 'mana', 'cuaca', 'minggu', 'ini']"
68,ms-MY,train,beritahu saya berita harian,"['beritahu', 'saya', 'berita', 'harian']"
69,ms-MY,train,apa berita di berita awani,"['apa', 'berita', 'di', 'berita', 'awani']"
70,ms-MY,train,apakah berita terkini awani,"['apakah', 'berita', 'terkini', 'awani']"
71,ms-MY,train,mainkan lagu yang saya suka,"['mainkan', 'lagu', 'yang', 'saya', 'suka']"
72,ms-MY,train,mainkan innuendo,"['mainkan', 'innuendo']"
73,ms-MY,train,mainkan lagu coldplay,"['mainkan', 'lagu', 'coldplay']"
74,ms-MY,train,main secara rambang senarai main ini,"['main', 'secara', 'rambang', 'senarai', 'main', 'ini']"
75,ms-MY,train,apa yang sedang dimainkan,"['apa', 'yang', 'sedang', 'dimainkan']"
76,ms-MY,train,apakah muzik ini,"['apakah', 'muzik', 'ini']"
77,ms-MY,train,beritahu saya artis untuk lagu ini,"['beritahu', 'saya', 'artis', 'untuk', 'lagu', 'ini']"
78,ms-MY,train,buat saya ketawa,"['buat', 'saya', 'ketawa']"
79,ms-MY,train,olly membuatkan saya ketawa,"['olly', 'membuatkan', 'saya', 'ketawa']"
80,ms-MY,train,beritahu saya jenaka yang bagus,"['beritahu', 'saya', 'jenaka', 'yang', 'bagus']"
81,ms-MY,train,beritahu saya satu jenaka,"['beritahu', 'saya', 'satu', 'jenaka']"
82,ms-MY,train,alexa beritahu saya satu jenaka,"['alexa', 'beritahu', 'saya', 'satu', 'jenaka']"
83,ms-MY,train,gembirakan saya,"['gembirakan', 'saya']"
84,ms-MY,train,beritahu saya tentang hari ini,"['beritahu', 'saya', 'tentang', 'hari', 'ini']"
85,ms-MY,train,oesankan piza,"['oesankan', 'piza']"
86,ms-MY,train,pesankan nasi lemak dari wanjo,"['pesankan', 'nasi', 'lemak', 'dari', 'wanjo']"
87,ms-MY,train,bila tempahan saya nak sampai,"['bila', 'tempahan', 'saya', 'nak', 'sampai']"
88,ms-MY,train,bila makanan bungkus saya nak sampai,"['bila', 'makanan', 'bungkus', 'saya', 'nak', 'sampai']"
89,ms-MY,train,status penghantaran sugarbun,"['status', 'penghantaran', 'sugarbun']"
90,ms-MY,train,apa yang dimainkan,"['apa', 'yang', 'dimainkan']"
91,ms-MY,train,beritahu saya nama lagu itu,"['beritahu', 'saya', 'nama', 'lagu', 'itu']"
92,ms-MY,train,mainkan senarai main jazz saya,"['mainkan', 'senarai', 'main', 'jazz', 'saya']"
93,ms-MY,train,mulakan senarai main jazz saya,"['mulakan', 'senarai', 'main', 'jazz', 'saya']"
94,ms-MY,train,mainkan senarai mainan saya punya yang amat digemari,"['mainkan', 'senarai', 'mainan', 'saya', 'punya', 'yang', 'amat', 'digemari']"
95,ms-MY,train,itu lagu yang bagus,"['itu', 'lagu', 'yang', 'bagus']"
96,ms-MY,train,saya tak sukanya,"['saya', 'tak', 'sukanya']"
97,ms-MY,train,saya suka ia,"['saya', 'suka', 'ia']"
98,ms-MY,train,saya suka jazz,"['saya', 'suka', 'jazz']"
99,ms-MY,train,boleh kah anda main beberapa jazz,"['boleh', 'kah', 'anda', 'main', 'beberapa', 'jazz']"
100,ms-MY,train,lagu ini sangat bagus,"['lagu', 'ini', 'sangat', 'bagus']"
101,ms-MY,train,tukar kelantangan,"['tukar', 'kelantangan']"
102,ms-MY,train,bolehkan rawak,"['bolehkan', 'rawak']"
103,ms-MY,train,simpan tetapan,"['simpan', 'tetapan']"
104,ms-MY,train,tetapkan kecerahan kepada lima puluh peratus,"['tetapkan', 'kecerahan', 'kepada', 'lima', 'puluh', 'peratus']"
105,ms-MY,train,kurangkan kecerahan nya,"['kurangkan', 'kecerahan', 'nya']"
106,ms-MY,train,kurangkan kecerahan,"['kurangkan', 'kecerahan']"
107,ms-MY,train,kurangkan kecerahan,"['kurangkan', 'kecerahan']"
108,ms-MY,train,malapkan lampu,"['malapkan', 'lampu']"
109,ms-MY,train,olly malapkan lampu,"['olly', 'malapkan', 'lampu']"
110,ms-MY,train,buatkan saya satu kopi,"['buatkan', 'saya', 'satu', 'kopi']"
111,ms-MY,train,siti buat kopi untuk saya,"['siti', 'buat', 'kopi', 'untuk', 'saya']"
112,ms-MY,train,saya nak kopi,"['saya', 'nak', 'kopi']"
113,ms-MY,train,saya nak beberapa kopi sekarang,"['saya', 'nak', 'beberapa', 'kopi', 'sekarang']"
114,ms-MY,train,apa khabar awak,"['apa', 'khabar', 'awak']"
115,ms-MY,train,tetapkan penggera pukul sepuluh pagi,"['tetapkan', 'penggera', 'pukul', 'sepuluh', 'pagi']"
116,ms-MY,train,beritahu saya berita teknologi terkini,"['beritahu', 'saya', 'berita', 'teknologi', 'terkini']"
117,ms-MY,train,beritahu saya berita teknologi terkini,"['beritahu', 'saya', 'berita', 'teknologi', 'terkini']"
118,ms-MY,train,beritahu saya keadaan cuaca,"['beritahu', 'saya', 'keadaan', 'cuaca']"
119,ms-MY,train,macam mana cuaca sekarang,"['macam', 'mana', 'cuaca', 'sekarang']"
120,ms-MY,train,sekarang tengah hujan ke,"['sekarang', 'tengah', 'hujan', 'ke']"
121,ms-MY,train,hidupkan senarai audio michael jackson saya,"['hidupkan', 'senarai', 'audio', 'michael', 'jackson', 'saya']"
122,ms-MY,train,mainkan nora daripada saya punya senarai main,"['mainkan', 'nora', 'daripada', 'saya', 'punya', 'senarai', 'main']"
123,ms-MY,train,mainkan salam terakhir daripada senarai main kegemaran saya,"['mainkan', 'salam', 'terakhir', 'daripada', 'senarai', 'main', 'kegemaran', 'saya']"
124,ms-MY,train,kuatkan kelantangan,"['kuatkan', 'kelantangan']"
125,ms-MY,train,hidupkan palam,"['hidupkan', 'palam']"
126,ms-MY,train,hidupkan plag,"['hidupkan', 'plag']"
127,ms-MY,train,hidupkan plag saya,"['hidupkan', 'plag', 'saya']"
128,ms-MY,train,beritahu saya beberapa lawak,"['beritahu', 'saya', 'beberapa', 'lawak']"
129,ms-MY,train,awak tahu apa apa lawak tak,"['awak', 'tahu', 'apa', 'apa', 'lawak', 'tak']"
130,ms-MY,train,pukul berapa,"['pukul', 'berapa']"
131,ms-MY,train,beritahu saya masa,"['beritahu', 'saya', 'masa']"
132,ms-MY,train,kat pezzo boleh tapau tak,"['kat', 'pezzo', 'boleh', 'tapau', 'tak']"
133,ms-MY,train,boleh tapau tak kat kedai roti john kegemaran saya,"['boleh', 'tapau', 'tak', 'kat', 'kedai', 'roti', 'john', 'kegemaran', 'saya']"
134,ms-MY,train,boleh saya pesan makanan bungkus dari restoran sepanyol,"['boleh', 'saya', 'pesan', 'makanan', 'bungkus', 'dari', 'restoran', 'sepanyol']"
135,ms-MY,train,padamkan alarm itu,"['padamkan', 'alarm', 'itu']"
136,ms-MY,train,tunjuk penggera penggera yang saya telah pasang,"['tunjuk', 'penggera', 'penggera', 'yang', 'saya', 'telah', 'pasang']"
137,ms-MY,train,adakah saya mempunyai mana mana penggera,"['adakah', 'saya', 'mempunyai', 'mana', 'mana', 'penggera']"
138,ms-MY,train,tunjukkan penggera,"['tunjukkan', 'penggera']"
139,ms-MY,train,macam mana cuaca di kajang,"['macam', 'mana', 'cuaca', 'di', 'kajang']"
140,ms-MY,train,beritahu saya cuaca di penang,"['beritahu', 'saya', 'cuaca', 'di', 'penang']"
141,ms-MY,train,tolong buatkan lampu mesra membaca,"['tolong', 'buatkan', 'lampu', 'mesra', 'membaca']"
142,ms-MY,train,tolong jadikan lampu mesra tontonan,"['tolong', 'jadikan', 'lampu', 'mesra', 'tontonan']"
143,ms-MY,train,buat bilik lebih cerah,"['buat', 'bilik', 'lebih', 'cerah']"
144,ms-MY,train,dan lampu pun menyala,"['dan', 'lampu', 'pun', 'menyala']"
