,locale,partition,utt,tokens
0,tl-PH,train,gisingin mo ako ng alas nuwebe ng umaga sa biyernes,"['gisingin', 'mo', 'ako', 'ng', 'alas', 'nuwebe', 'ng', 'umaga', 'sa', 'biyernes']"
1,tl-PH,train,magtakda ng hudyat sa loob ng dalawang oras mula ngayon,"['magtakda', 'ng', 'hudyat', 'sa', 'loob', 'ng', 'dalawang', 'oras', 'mula', 'ngayon']"
2,tl-PH,train,olly tahimik,"['olly', 'tahimik']"
3,tl-PH,train,huminto,['huminto']
4,tl-PH,train,olly huminto ng sampung segundo,"['olly', 'huminto', 'ng', 'sampung', 'segundo']"
5,tl-PH,train,huminto ng sampung segundo,"['huminto', 'ng', 'sampung', 'segundo']"
6,tl-PH,train,gawing mas mainit ang ilaw dito,"['gawing', 'mas', 'mainit', 'ang', 'ilaw', 'dito']"
7,tl-PH,train,itakda ang ilaw na angkop sa pagbabasa,"['itakda', 'ang', 'ilaw', 'na', 'angkop', 'sa', 'pagbabasa']"
8,tl-PH,train,oras upang matulog,"['oras', 'upang', 'matulog']"
9,tl-PH,train,oras na para matulog olly,"['oras', 'na', 'para', 'matulog', 'olly']"
10,tl-PH,train,patayin ang ilaw sa banyo,"['patayin', 'ang', 'ilaw', 'sa', 'banyo']"
11,tl-PH,train,olly padilimin ang mga ilaw sa bulwagan,"['olly', 'padilimin', 'ang', 'mga', 'ilaw', 'sa', 'bulwagan']"
12,tl-PH,train,gawin patayin ang mga ilaw sa silid,"['gawin', 'patayin', 'ang', 'mga', 'ilaw', 'sa', 'silid']"
13,tl-PH,train,itakda ang mga ilaw ng dalawampung porsyento,"['itakda', 'ang', 'mga', 'ilaw', 'ng', 'dalawampung', 'porsyento']"
14,tl-PH,train,olly iset ng dalawampung porsyento,"['olly', 'iset', 'ng', 'dalawampung', 'porsyento']"
15,tl-PH,train,diliman ang mga ilaw sa kusina olly,"['diliman', 'ang', 'mga', 'ilaw', 'sa', 'kusina', 'olly']"
16,tl-PH,train,diliman ang mga ilaw sa kusina,"['diliman', 'ang', 'mga', 'ilaw', 'sa', 'kusina']"
17,tl-PH,train,olly linisan ang flat,"['olly', 'linisan', 'ang', 'flat']"
18,tl-PH,train,vacuum ang bahay,"['vacuum', 'ang', 'bahay']"
19,tl-PH,train,i-vacuum ang bahay,"['i-vacuum', 'ang', 'bahay']"
