,locale,partition,utt,tokens
0,sq-AL,train,më zgjo të premten në nëntë të mëngjesit,"['më', 'zgjo', 'të', 'premten', 'në', 'nëntë', 'të', 'mëngjesit']"
1,sq-AL,train,vendos një alarm për pas dy orësh,"['vendos', 'një', 'alarm', 'për', 'pas', 'dy', 'orësh']"
2,sq-AL,train,brisilda pushi,"['brisilda', 'pushi']"
3,sq-AL,train,ndal,['ndal']
4,sq-AL,train,olly ndalo për dhjetë sekonda,"['olly', 'ndalo', 'për', 'dhjetë', 'sekonda']"
5,sq-AL,train,ndalo për dhjetë sekonda,"['ndalo', 'për', 'dhjetë', 'sekonda']"
6,sq-AL,train,bëje ndriçimin pak më shumë të ngrohtë këtu,"['bëje', 'ndriçimin', 'pak', 'më', 'shumë', 'të', 'ngrohtë', 'këtu']"
7,sq-AL,train,të lutem vendos dritën të përshtatshme për të lexuar,"['të', 'lutem', 'vendos', 'dritën', 'të', 'përshtatshme', 'për', 'të', 'lexuar']"
8,sq-AL,train,koha për gjumë,"['koha', 'për', 'gjumë']"
9,sq-AL,train,koha e gjumit brisilda,"['koha', 'e', 'gjumit', 'brisilda']"
10,sq-AL,train,fik dritën në banjë,"['fik', 'dritën', 'në', 'banjë']"
11,sq-AL,train,brisilda errëso dritat në korridor,"['brisilda', 'errëso', 'dritat', 'në', 'korridor']"
12,sq-AL,train,fik dritat në dhomën e gjumit,"['fik', 'dritat', 'në', 'dhomën', 'e', 'gjumit']"
13,sq-AL,train,vendos dritat në njëzet përqind,"['vendos', 'dritat', 'në', 'njëzet', 'përqind']"
14,sq-AL,train,brisilda vendos dritat në njëzet përqind,"['brisilda', 'vendos', 'dritat', 'në', 'njëzet', 'përqind']"
15,sq-AL,train,zbeh dritat në kuzhinë brisilda,"['zbeh', 'dritat', 'në', 'kuzhinë', 'brisilda']"
16,sq-AL,train,zbeh dritat në kuzhinë,"['zbeh', 'dritat', 'në', 'kuzhinë']"
17,sq-AL,train,brisilda pastro shtëpinë,"['brisilda', 'pastro', 'shtëpinë']"
18,sq-AL,train,fshi shtëpinë,"['fshi', 'shtëpinë']"
19,sq-AL,train,brisilda pastro shtëpinë,"['brisilda', 'pastro', 'shtëpinë']"
20,sq-AL,train,pastro tapetet këtu rrotull,"['pastro', 'tapetet', 'këtu', 'rrotull']"
21,sq-AL,train,kontrollo kur fillon programi,"['kontrollo', 'kur', 'fillon', 'programi']"
22,sq-AL,train,dua të dëgjoj këngën e alban ramosajt sërish,"['dua', 'të', 'dëgjoj', 'këngën', 'e', 'alban', 'ramosajt', 'sërish']"
23,sq-AL,train,dua të luaj sërish atë muzikë,"['dua', 'të', 'luaj', 'sërish', 'atë', 'muzikë']"
24,sq-AL,train,kontrollo nëse makina është gati,"['kontrollo', 'nëse', 'makina', 'është', 'gati']"
25,sq-AL,train,shiko nëse laptopi im punon,"['shiko', 'nëse', 'laptopi', 'im', 'punon']"
26,sq-AL,train,a është ndriçimi i ekranit tim duke rënë,"['a', 'është', 'ndriçimi', 'i', 'ekranit', 'tim', 'duke', 'rënë']"
27,sq-AL,train,kam nevojë ti kem shërbimet e vendndodhjes të ndezuar amund të kontrollosh,"['kam', 'nevojë', 'ti', 'kem', 'shërbimet', 'e', 'vendndodhjes', 'të', 'ndezuar', 'amund', 'të', 'kontrollosh']"
28,sq-AL,train,kontrollo gjendjen time të karikimit,"['kontrollo', 'gjendjen', 'time', 'të', 'karikimit']"
29,sq-AL,train,nuk jam e lodhur në fakt jam e lumtur,"['nuk', 'jam', 'e', 'lodhur', 'në', 'fakt', 'jam', 'e', 'lumtur']"
30,sq-AL,train,brisilda nuk jam e lodhur në fakt jam e lumtur,"['brisilda', 'nuk', 'jam', 'e', 'lodhur', 'në', 'fakt', 'jam', 'e', 'lumtur']"
31,sq-AL,train,çkemi,['çkemi']
32,sq-AL,train,më thuaj orën në moskë,"['më', 'thuaj', 'orën', 'në', 'moskë']"
33,sq-AL,train,më trego orën në orën lokale plus tre orë,"['më', 'trego', 'orën', 'në', 'orën', 'lokale', 'plus', 'tre', 'orë']"
34,sq-AL,train,brisilda listo opsionet e dorëzimit më të vlerësuara për ushqimin kinez,"['brisilda', 'listo', 'opsionet', 'e', 'dorëzimit', 'më', 'të', 'vlerësuara', 'për', 'ushqimin', 'kinez']"
35,sq-AL,train,opsionet e dorëzimit më të vlerësuara për ushqim kinez,"['opsionet', 'e', 'dorëzimit', 'më', 'të', 'vlerësuara', 'për', 'ushqim', 'kinez']"
36,sq-AL,train,brisilda opsionet e dorëzimit më të vlerësuara për ushqim kinez,"['brisilda', 'opsionet', 'e', 'dorëzimit', 'më', 'të', 'vlerësuara', 'për', 'ushqim', 'kinez']"
37,sq-AL,train,dua disa sushi për me vete ke ndonjë rekomandim,"['dua', 'disa', 'sushi', 'për', 'me', 'vete', 'ke', 'ndonjë', 'rekomandim']"
38,sq-AL,train,dua një sanduiç me bagetë për me vete ndonjë rekomandim conad,"['dua', 'një', 'sanduiç', 'me', 'bagetë', 'për', 'me', 'vete', 'ndonjë', 'rekomandim', 'conad']"
39,sq-AL,train,gjej restorantet e mia tajlandeze që ofrojnë porositë për me vete përreth spar market,"['gjej', 'restorantet', 'e', 'mia', 'tajlandeze', 'që', 'ofrojnë', 'porositë', 'për', 'me', 'vete', 'përreth', 'spar', 'market']"
40,sq-AL,train,ndaloje alarmin e orës shtatë të mëngjesit,"['ndaloje', 'alarmin', 'e', 'orës', 'shtatë', 'të', 'mëngjesit']"
41,sq-AL,train,të lutem listo alarmet aktive,"['të', 'lutem', 'listo', 'alarmet', 'aktive']"
42,sq-AL,train,çfarë po ndodh sot në futboll,"['çfarë', 'po', 'ndodh', 'sot', 'në', 'futboll']"
43,sq-AL,train,të lutem luaj marr nga geto ari,"['të', 'lutem', 'luaj', 'marr', 'nga', 'geto', 'ari']"
44,sq-AL,train,më pëlqen muzika rrok,"['më', 'pëlqen', 'muzika', 'rrok']"
45,sq-AL,train,grupi im i preferuar muzikor është elita pesë,"['grupi', 'im', 'i', 'preferuar', 'muzikor', 'është', 'elita', 'pesë']"
46,sq-AL,train,fillo luaj muzikë nga flor mumajesi,"['fillo', 'luaj', 'muzikë', 'nga', 'flor', 'mumajesi']"
47,sq-AL,train,të lutem luaj muzikën time më të mirë,"['të', 'lutem', 'luaj', 'muzikën', 'time', 'më', 'të', 'mirë']"
48,sq-AL,train,kush është autori i kësaj muzike,"['kush', 'është', 'autori', 'i', 'kësaj', 'muzike']"
49,sq-AL,train,nga është ajo këngë e albumit aktual,"['nga', 'është', 'ajo', 'këngë', 'e', 'albumit', 'aktual']"
50,sq-AL,train,ori vërtet më shijon shumë kjo këngë,"['ori', 'vërtet', 'më', 'shijon', 'shumë', 'kjo', 'këngë']"
51,sq-AL,train,kënga që ti po luan është e mrekullueshme,"['kënga', 'që', 'ti', 'po', 'luan', 'është', 'e', 'mrekullueshme']"
52,sq-AL,train,kjo është njëra nga këngët më të mira për mua,"['kjo', 'është', 'njëra', 'nga', 'këngët', 'më', 'të', 'mira', 'për', 'mua']"
53,sq-AL,train,bëji dritat më të ndritshme,"['bëji', 'dritat', 'më', 'të', 'ndritshme']"
