,locale,partition,utt,tokens
0,pl-PL,train,obudź mnie o dziewiątej rano w piątek,"['obudź', 'mnie', 'o', 'dziewiątej', 'rano', 'w', 'piątek']"
1,pl-PL,train,nastaw alarm na za dwie godziny od teraz,"['nastaw', 'alarm', 'na', 'za', 'dwie', 'godziny', 'od', 'teraz']"
2,pl-PL,train,olly cicho,"['olly', 'cicho']"
3,pl-PL,train,przestań,['przestań']
4,pl-PL,train,olly zatrzymaj na dziesięć sekund,"['olly', 'zatrzymaj', 'na', 'dziesięć', 'sekund']"
5,pl-PL,train,pauza przez dziesięć sekund,"['pauza', 'przez', 'dziesięć', 'sekund']"
6,pl-PL,train,zmień oświetlenie tutaj na trochę cieplejsze,"['zmień', 'oświetlenie', 'tutaj', 'na', 'trochę', 'cieplejsze']"
7,pl-PL,train,nastaw światło na odpowiednie do czytania,"['nastaw', 'światło', 'na', 'odpowiednie', 'do', 'czytania']"
8,pl-PL,train,czas spać,"['czas', 'spać']"
9,pl-PL,train,czas spać olly,"['czas', 'spać', 'olly']"
10,pl-PL,train,wyłącz światło w łazience,"['wyłącz', 'światło', 'w', 'łazience']"
11,pl-PL,train,olly przyciemnij światła w korytarzu,"['olly', 'przyciemnij', 'światła', 'w', 'korytarzu']"
12,pl-PL,train,wyłącz światła w sypialni,"['wyłącz', 'światła', 'w', 'sypialni']"
13,pl-PL,train,nastaw światła na dwadzieścia procent,"['nastaw', 'światła', 'na', 'dwadzieścia', 'procent']"
14,pl-PL,train,olly nastaw światła na dwadzieścia procent,"['olly', 'nastaw', 'światła', 'na', 'dwadzieścia', 'procent']"
15,pl-PL,train,przyciemnij światła w kuchni olly,"['przyciemnij', 'światła', 'w', 'kuchni', 'olly']"
16,pl-PL,train,ściemnij światła w kuchni,"['ściemnij', 'światła', 'w', 'kuchni']"
17,pl-PL,train,olly posprzątaj mieszkanie,"['olly', 'posprzątaj', 'mieszkanie']"
18,pl-PL,train,odkurz dom,"['odkurz', 'dom']"
19,pl-PL,train,odkurz dom olly,"['odkurz', 'dom', 'olly']"
20,pl-PL,train,odkurz dywany,"['odkurz', 'dywany']"
21,pl-PL,train,sprawdź kiedy zaczyna się przedstawienie,"['sprawdź', 'kiedy', 'zaczyna', 'się', 'przedstawienie']"
22,pl-PL,train,chcę posłuchać piosenki sanah jeszcze raz,"['chcę', 'posłuchać', 'piosenki', 'sanah', 'jeszcze', 'raz']"
23,pl-PL,train,chcę grać tą muzykę ponownie,"['chcę', 'grać', 'tą', 'muzykę', 'ponownie']"
24,pl-PL,train,sprawdź czy samochód jest gotów,"['sprawdź', 'czy', 'samochód', 'jest', 'gotów']"
25,pl-PL,train,sprawdż czy mój laptop działa,"['sprawdż', 'czy', 'mój', 'laptop', 'działa']"
26,pl-PL,train,czy jasność mojego ekranu jest niska,"['czy', 'jasność', 'mojego', 'ekranu', 'jest', 'niska']"
27,pl-PL,train,muszę mieć włączone usługi lokalizacyjne czy możesz to sprawdzić,"['muszę', 'mieć', 'włączone', 'usługi', 'lokalizacyjne', 'czy', 'możesz', 'to', 'sprawdzić']"
28,pl-PL,train,sprawdź poziom mojej baterii,"['sprawdź', 'poziom', 'mojej', 'baterii']"
29,pl-PL,train,nie jestem zmęczony w sumie jestem szczęśliwy,"['nie', 'jestem', 'zmęczony', 'w', 'sumie', 'jestem', 'szczęśliwy']"
30,pl-PL,train,olly nie jestem zmęczony jestem nawet szczęśliwy,"['olly', 'nie', 'jestem', 'zmęczony', 'jestem', 'nawet', 'szczęśliwy']"
31,pl-PL,train,co tam,"['co', 'tam']"
32,pl-PL,train,pokaż mi godzinę w moskwie,"['pokaż', 'mi', 'godzinę', 'w', 'moskwie']"
33,pl-PL,train,powiedz mi która jest godzina w strefie greenwich plus pięć,"['powiedz', 'mi', 'która', 'jest', 'godzina', 'w', 'strefie', 'greenwich', 'plus', 'pięć']"
34,pl-PL,train,wymień mi najwyżej oceniane opcje chińskiego jedzenia z dostawą,"['wymień', 'mi', 'najwyżej', 'oceniane', 'opcje', 'chińskiego', 'jedzenia', 'z', 'dostawą']"
35,pl-PL,train,najwyżej oceniane opcje dostawy chińskiego jedzenie,"['najwyżej', 'oceniane', 'opcje', 'dostawy', 'chińskiego', 'jedzenie']"
36,pl-PL,train,najwyżej ocenianie chińskie jedzenie z dostawą,"['najwyżej', 'ocenianie', 'chińskie', 'jedzenie', 'z', 'dostawą']"
37,pl-PL,train,chcę curry na wynos jakieś sugestie,"['chcę', 'curry', 'na', 'wynos', 'jakieś', 'sugestie']"
38,pl-PL,train,chcę jakieś curry na wynos jakieś rekomendacje olly,"['chcę', 'jakieś', 'curry', 'na', 'wynos', 'jakieś', 'rekomendacje', 'olly']"
39,pl-PL,train,znajdź tajskie jedzenie na wynos w pobliżu rynku,"['znajdź', 'tajskie', 'jedzenie', 'na', 'wynos', 'w', 'pobliżu', 'rynku']"
40,pl-PL,train,zatrzymaj alarm o siódmej rano,"['zatrzymaj', 'alarm', 'o', 'siódmej', 'rano']"
41,pl-PL,train,prosze wymień aktywne alarmy,"['prosze', 'wymień', 'aktywne', 'alarmy']"
42,pl-PL,train,co dzisiaj dzieje się w piłce nożnej,"['co', 'dzisiaj', 'dzieje', 'się', 'w', 'piłce', 'nożnej']"
43,pl-PL,train,proszę zagraj yesterday autorstwa beatles,"['proszę', 'zagraj', 'yesterday', 'autorstwa', 'beatles']"
44,pl-PL,train,ja lubię rockową muzykę,"['ja', 'lubię', 'rockową', 'muzykę']"
45,pl-PL,train,moim ulubionym zespołem muzycznym jest queen,"['moim', 'ulubionym', 'zespołem', 'muzycznym', 'jest', 'queen']"
46,pl-PL,train,zagraj muzykę z ulubionych,"['zagraj', 'muzykę', 'z', 'ulubionych']"
47,pl-PL,train,proszę zagraj moją ulubioną muzykę,"['proszę', 'zagraj', 'moją', 'ulubioną', 'muzykę']"
48,pl-PL,train,kto jest autorem tej muzyki,"['kto', 'jest', 'autorem', 'tej', 'muzyki']"
49,pl-PL,train,co to za album z którego pochodzi ta muzyka,"['co', 'to', 'za', 'album', 'z', 'którego', 'pochodzi', 'ta', 'muzyka']"
50,pl-PL,train,olly ta piosenka naprawdę podoba mi się,"['olly', 'ta', 'piosenka', 'naprawdę', 'podoba', 'mi', 'się']"
51,pl-PL,train,piosenka którą grasz jest niesamowita,"['piosenka', 'którą', 'grasz', 'jest', 'niesamowita']"
52,pl-PL,train,jak dla mnie to jedna z najlepszych piosenek,"['jak', 'dla', 'mnie', 'to', 'jedna', 'z', 'najlepszych', 'piosenek']"
53,pl-PL,train,zrób światła jaśniejsze,"['zrób', 'światła', 'jaśniejsze']"
54,pl-PL,train,proszę podkręć światła do maksimum,"['proszę', 'podkręć', 'światła', 'do', 'maksimum']"
55,pl-PL,train,hej włącz robot sprzątający,"['hej', 'włącz', 'robot', 'sprzątający']"
56,pl-PL,train,włącz robota sprzątającego,"['włącz', 'robota', 'sprzątającego']"
57,pl-PL,train,proszę zamów sushi na kolację,"['proszę', 'zamów', 'sushi', 'na', 'kolację']"
58,pl-PL,train,cześć chciałbym zamówić burgera,"['cześć', 'chciałbym', 'zamówić', 'burgera']"
59,pl-PL,train,czy mogę zamówić obiad na wynos z bombardino,"['czy', 'mogę', 'zamówić', 'obiad', 'na', 'wynos', 'z', 'bombardino']"
60,pl-PL,train,czy salad story przyjmuje zamówienia do domu,"['czy', 'salad', 'story', 'przyjmuje', 'zamówienia', 'do', 'domu']"
61,pl-PL,train,nastaw alarm na dwunastą,"['nastaw', 'alarm', 'na', 'dwunastą']"
62,pl-PL,train,nastaw alarm czterdzieści minut od teraz,"['nastaw', 'alarm', 'czterdzieści', 'minut', 'od', 'teraz']"
63,pl-PL,train,nastaw alarm na ósmą w każdy dzień powszedni,"['nastaw', 'alarm', 'na', 'ósmą', 'w', 'każdy', 'dzień', 'powszedni']"
64,pl-PL,train,czy pada,"['czy', 'pada']"
65,pl-PL,train,czy będzie padać,"['czy', 'będzie', 'padać']"
66,pl-PL,train,teraz pada śnieg,"['teraz', 'pada', 'śnieg']"
67,pl-PL,train,jaka jest pogoda na ten tydzień,"['jaka', 'jest', 'pogoda', 'na', 'ten', 'tydzień']"
68,pl-PL,train,pokaż mi wiadomości z tvn,"['pokaż', 'mi', 'wiadomości', 'z', 'tvn']"
69,pl-PL,train,co nowego w wiadomościach tvn,"['co', 'nowego', 'w', 'wiadomościach', 'tvn']"
70,pl-PL,train,jakie są najnowsze wiadomości tvn,"['jakie', 'są', 'najnowsze', 'wiadomości', 'tvn']"
71,pl-PL,train,zagraj piosenkę którą ja lubię,"['zagraj', 'piosenkę', 'którą', 'ja', 'lubię']"
72,pl-PL,train,odtwórz daft punk,"['odtwórz', 'daft', 'punk']"
73,pl-PL,train,włącz jakiś coldplay,"['włącz', 'jakiś', 'coldplay']"
74,pl-PL,train,przetasuj tę playlistę,"['przetasuj', 'tę', 'playlistę']"
75,pl-PL,train,co teraz leci,"['co', 'teraz', 'leci']"
76,pl-PL,train,co to za muzyka,"['co', 'to', 'za', 'muzyka']"
77,pl-PL,train,podaj mi wykonawcę tej piosenki,"['podaj', 'mi', 'wykonawcę', 'tej', 'piosenki']"
78,pl-PL,train,rozśmiesz mnie,"['rozśmiesz', 'mnie']"
79,pl-PL,train,olly rozśmiesz mnie,"['olly', 'rozśmiesz', 'mnie']"
80,pl-PL,train,powiedz mi dobry żart,"['powiedz', 'mi', 'dobry', 'żart']"
81,pl-PL,train,opowiedz mi dowcip,"['opowiedz', 'mi', 'dowcip']"
82,pl-PL,train,alexo opowiedz dowcip,"['alexo', 'opowiedz', 'dowcip']"
83,pl-PL,train,rozwesej mnie,"['rozwesej', 'mnie']"
84,pl-PL,train,powiedz mi o dzisiejszym dniu,"['powiedz', 'mi', 'o', 'dzisiejszym', 'dniu']"
85,pl-PL,train,zamów pizzę,"['zamów', 'pizzę']"
86,pl-PL,train,zamów mi burgera z glovo,"['zamów', 'mi', 'burgera', 'z', 'glovo']"
87,pl-PL,train,kiedy zamówienie dojedzie,"['kiedy', 'zamówienie', 'dojedzie']"
88,pl-PL,train,jak długo mam czekać na dostawę,"['jak', 'długo', 'mam', 'czekać', 'na', 'dostawę']"
89,pl-PL,train,status dostawy z dominium,"['status', 'dostawy', 'z', 'dominium']"
90,pl-PL,train,co to za muzyka,"['co', 'to', 'za', 'muzyka']"
91,pl-PL,train,powiedz mi tytuł tej piosenki,"['powiedz', 'mi', 'tytuł', 'tej', 'piosenki']"
92,pl-PL,train,odtwórz moją playlistę gatunku jazz,"['odtwórz', 'moją', 'playlistę', 'gatunku', 'jazz']"
93,pl-PL,train,wystartują moją playlistę jazz,"['wystartują', 'moją', 'playlistę', 'jazz']"
94,pl-PL,train,otwórz moją ulubioną playlistę,"['otwórz', 'moją', 'ulubioną', 'playlistę']"
95,pl-PL,train,to jest dobra piosenka,"['to', 'jest', 'dobra', 'piosenka']"
96,pl-PL,train,nie lubię tego,"['nie', 'lubię', 'tego']"
97,pl-PL,train,ja lubię to,"['ja', 'lubię', 'to']"
98,pl-PL,train,lubię jazz,"['lubię', 'jazz']"
99,pl-PL,train,czy możesz zagrać jakiś jazz,"['czy', 'możesz', 'zagrać', 'jakiś', 'jazz']"
100,pl-PL,train,ta piosenka była bardzo dobra,"['ta', 'piosenka', 'była', 'bardzo', 'dobra']"
101,pl-PL,train,zmien głośność,"['zmien', 'głośność']"
102,pl-PL,train,włącz mieszanie,"['włącz', 'mieszanie']"
103,pl-PL,train,zachowaj ustawienia,"['zachowaj', 'ustawienia']"
104,pl-PL,train,nastaw moc świateł na pięćdziesiąt procent,"['nastaw', 'moc', 'świateł', 'na', 'pięćdziesiąt', 'procent']"
105,pl-PL,train,zmniejsz bardziej jasność,"['zmniejsz', 'bardziej', 'jasność']"
106,pl-PL,train,zmniejsz jasność,"['zmniejsz', 'jasność']"
107,pl-PL,train,zmniejsz jasność,"['zmniejsz', 'jasność']"
108,pl-PL,train,przyciemnij światła,"['przyciemnij', 'światła']"
109,pl-PL,train,olly przyciemnij światła,"['olly', 'przyciemnij', 'światła']"
110,pl-PL,train,zrób mi kawę,"['zrób', 'mi', 'kawę']"
111,pl-PL,train,olly zrób mi kawy,"['olly', 'zrób', 'mi', 'kawy']"
112,pl-PL,train,potrzebuję kawy,"['potrzebuję', 'kawy']"
113,pl-PL,train,chciałabym trochę kawy teraz,"['chciałabym', 'trochę', 'kawy', 'teraz']"
114,pl-PL,train,co słychać,"['co', 'słychać']"
115,pl-PL,train,ustaw alarm na dziesiątą rano,"['ustaw', 'alarm', 'na', 'dziesiątą', 'rano']"
116,pl-PL,train,pokaż mi najnowsze informacje technologiczne,"['pokaż', 'mi', 'najnowsze', 'informacje', 'technologiczne']"
117,pl-PL,train,podaj mi najnowsze wiadomości technologiczne,"['podaj', 'mi', 'najnowsze', 'wiadomości', 'technologiczne']"
118,pl-PL,train,powiedz mi pogodą,"['powiedz', 'mi', 'pogodą']"
119,pl-PL,train,jaka jest teraz pogoda,"['jaka', 'jest', 'teraz', 'pogoda']"
120,pl-PL,train,czy teraz pada,"['czy', 'teraz', 'pada']"
121,pl-PL,train,włącz moją playlistę michaela jacksona,"['włącz', 'moją', 'playlistę', 'michaela', 'jacksona']"
122,pl-PL,train,odtwórz utwór michael jackson z mojej playlisty,"['odtwórz', 'utwór', 'michael', 'jackson', 'z', 'mojej', 'playlisty']"
123,pl-PL,train,graj ostatni utwór z mojej ulubionej playlisty,"['graj', 'ostatni', 'utwór', 'z', 'mojej', 'ulubionej', 'playlisty']"
124,pl-PL,train,zwieksz głośność,"['zwieksz', 'głośność']"
125,pl-PL,train,włącz wtyczkę,"['włącz', 'wtyczkę']"
126,pl-PL,train,włącz wtyczkę,"['włącz', 'wtyczkę']"
127,pl-PL,train,włącz moją wtyczkę,"['włącz', 'moją', 'wtyczkę']"
128,pl-PL,train,opowiedz jakiś dowcip,"['opowiedz', 'jakiś', 'dowcip']"
129,pl-PL,train,czy znasz jakiś dowcip,"['czy', 'znasz', 'jakiś', 'dowcip']"
130,pl-PL,train,która jest godzina,"['która', 'jest', 'godzina']"
131,pl-PL,train,podaj mi godzinę,"['podaj', 'mi', 'godzinę']"
132,pl-PL,train,czy dominium ma dowozy,"['czy', 'dominium', 'ma', 'dowozy']"
133,pl-PL,train,czy moja ulubiona pizzeria ma dostawy,"['czy', 'moja', 'ulubiona', 'pizzeria', 'ma', 'dostawy']"
134,pl-PL,train,czy mogę zamówić na dowóz z hiszpańskiej restauracji,"['czy', 'mogę', 'zamówić', 'na', 'dowóz', 'z', 'hiszpańskiej', 'restauracji']"
135,pl-PL,train,usuń alarm,"['usuń', 'alarm']"
136,pl-PL,train,pokaż mi alarmy które nastawiłem,"['pokaż', 'mi', 'alarmy', 'które', 'nastawiłem']"
137,pl-PL,train,czy mam jakieś alarmy,"['czy', 'mam', 'jakieś', 'alarmy']"
138,pl-PL,train,pokaż alarmy,"['pokaż', 'alarmy']"
139,pl-PL,train,jaka jest dziś pogoda w wałbrzychu,"['jaka', 'jest', 'dziś', 'pogoda', 'w', 'wałbrzychu']"
140,pl-PL,train,pokaz mi pogodę w warszawie,"['pokaz', 'mi', 'pogodę', 'w', 'warszawie']"
141,pl-PL,train,proszę ustaw światła na odpowiednie do czytania,"['proszę', 'ustaw', 'światła', 'na', 'odpowiednie', 'do', 'czytania']"
142,pl-PL,train,proszę zrób światła na odpowiednie do oglądania,"['proszę', 'zrób', 'światła', 'na', 'odpowiednie', 'do', 'oglądania']"
143,pl-PL,train,zrób jaśniej w pokoju,"['zrób', 'jaśniej', 'w', 'pokoju']"
144,pl-PL,train,i światło się zaczęło,"['i', 'światło', 'się', 'zaczęło']"
145,pl-PL,train,podaj dzisiejszą datę,"['podaj', 'dzisiejszą', 'datę']"
146,pl-PL,train,jaki jest dzisiaj dzień,"['jaki', 'jest', 'dzisiaj', 'dzień']"
147,pl-PL,train,powiedz mi datę,"['powiedz', 'mi', 'datę']"
148,pl-PL,train,czy pada na zewnątrz olly,"['czy', 'pada', 'na', 'zewnątrz', 'olly']"
149,pl-PL,train,zmień światła na zielone,"['zmień', 'światła', 'na', 'zielone']"
150,pl-PL,train,dodaj tę piosenkę do listy ulubionych,"['dodaj', 'tę', 'piosenkę', 'do', 'listy', 'ulubionych']"
151,pl-PL,train,co to za piosenka,"['co', 'to', 'za', 'piosenka']"
152,pl-PL,train,olly wyłącz światła,"['olly', 'wyłącz', 'światła']"
153,pl-PL,train,wyłącz światła,"['wyłącz', 'światła']"
154,pl-PL,train,umyj podłogę proszę,"['umyj', 'podłogę', 'proszę']"
155,pl-PL,train,włącz gniazdko urządzenia do gotowania ryżu,"['włącz', 'gniazdko', 'urządzenia', 'do', 'gotowania', 'ryżu']"
156,pl-PL,train,wyłącz gniazdo urządzenia do gotowania ryżu,"['wyłącz', 'gniazdo', 'urządzenia', 'do', 'gotowania', 'ryżu']"
157,pl-PL,train,czy możesz mi pomóc zamówić sushi z pyszne.pl,"['czy', 'możesz', 'mi', 'pomóc', 'zamówić', 'sushi', 'z', 'pyszne.pl']"
158,pl-PL,train,staw alarm na czwartą po południu,"['staw', 'alarm', 'na', 'czwartą', 'po', 'południu']"
159,pl-PL,train,olly zaalarmuj mnie o piętnastej żeby iść na koncert,"['olly', 'zaalarmuj', 'mnie', 'o', 'piętnastej', 'żeby', 'iść', 'na', 'koncert']"
160,pl-PL,train,zaalarmuj mnie o piętnastej że mam iść na koncert,"['zaalarmuj', 'mnie', 'o', 'piętnastej', 'że', 'mam', 'iść', 'na', 'koncert']"
